PubmedID,Title
40087147,Effect of 
40087063,Immunotherapy-induced psoriasis successfully treated with Guselkumab in a patient with metastatic gastric cancer.
40087057,"Predicting Severe Radiation Pneumonitis in Patients With Locally-Advanced Non-Small-Cell Lung Cancer After Thoracic Radiotherapy: Development and Validation of a Nomogram Based on the Clinical, Hematological, and Dose-Volume Histogram Parameters."
40086820,"Optimization of Adcitmer, a Monomethyl-Auristatin E bearing antibody-drug conjugate for the treatment of CD56-expressing cancers."
40086819,Protein arginine methyltransferase 6 enhances immune checkpoint blockade efficacy via the STING pathway in MMR-proficient colorectal cancer.
40086769,The Dual Role of Chaperone-mediated Autophagy in the Response and Resistance to Cancer Immunotherapy.
40086544,The fucoidan delivery system enhanced the anti-cervical cancer effect of caffeic acid.
40086465,Adrenocortical carcinoma: a practical guide for clinicians.
40086437,Distinct CD8
40086102,"The evolving landscape of stage III unresectable non-small cell lung cancer ""between lights and shadows""."
40086027,Immunotherapy in advanced non-small cell lung cancer: What to do for the 'Invisible' patients after IPSOS trial results?
40085988,Metabolism profiles of tannins in Phyllanthus emblica L. and its immunotherapeutic potential against hepatocellular carcinoma by re-educating tumor microenvironment.
40085976,Synthesis and preclinical evaluation of an Al
40085930,Effect of cumulative dexamethasone dose on the outcome of patients with radiosurgically treated brain metastases in the era of modern oncological therapy.
40085689,QRICH1 mediates an intracellular checkpoint for CD8
40085681,A microglia clonal inflammatory disorder in Alzheimer's disease.
40085645,Maternal progesterone and adipose mPRε in pregnancy regulate the embryonic nutritional state.
40085546,Inotuzumab Ozogamicin as a Bridge to Stem Cell Transplantation in Relapsed Pediatric BCP-ALL After Tisagenlecleucel: A Case Series.
40085508,A targeted MAVS fusion protein for controlled innate immune activation and antitumor therapy.
40085489,Expression of a single inhibitory member of the Ly49 receptor family is sufficient to license NK cells for effector functions.
40085398,Efficacy and safety of immunotherapy plus chemotherapy in advanced or metastatic pulmonary large-cell neuroendocrine carcinoma.
40085377,Integrated bulk and single-cell transcriptomic analysis unveiled a novel cuproptosis-related lipid metabolism gene molecular pattern and a risk index for predicting prognosis and antitumor drug sensitivity in breast cancer.
40085357,The Role of Choroid Plexus in Hydrocephalus from the Perspective of Structure and Function: a Therapeutic Target.
40085293,"Hypertension in Childhood Cancer Survivors: Causes, Screening, and Management."
40085270,Leptomeningeal carcinomatosis in gastric cancer: A Review.
40084939,CD103+CD56+ ILCs Are Associated with an Altered CD8+ T-cell Profile within the Tumor Microenvironment.
40084746,Blocking ITGA5 potentiates the efficacy of anti-PD-1 therapy on glioblastoma by remodeling tumor-associated macrophages.
40084517,Immunotherapy in Cervical Cancer: An Evolutionary Paradigm in Women's Reproductive Health.
40084460,[CAR-T cell therapy in a patient with relapsed/refractory mantle cell lymphoma.].
40084459,[Efficacy and toxicity of brexucabtagene autoleucel in the treatment of high-risk mantle cell lymphoma: description of a clinical case.].
40084458,[Successful CAR-T cell therapy in a refractory mcl patient with rapidly progressive disease: a case report.].
40084378,Comparing health insurance-reimbursed lenvatinib and self-paid atezolizumab plus bevacizumab in patients with unresectable hepatocellular carcinoma.
40084370,Risk factors for immunoresistance in advanced non-small cell lung cancer and the advantages of targeted therapy in improving prognosis.
40084361,"Microporous annealed particle hydrogels in cell culture, tissue regeneration, and emerging application in cancer immunotherapy."
40084358,Early-phase clinical trials in the pandemic era: a four-year experience from an academic cancer center.
40084273,Discovery and preclinical development of a SdAb-based CAR-T technology for targeting CD33 in AML.
40084259,Multi-omics and single-cell analysis reveals machine learning-based pyrimidine metabolism-related signature in the prognosis of patients with lung adenocarcinoma.
40084144,Fatty acid metabolism influences the immune microenvironment in papillary thyroid cancer and identifies SCD as a novel biomarker.
40083941,Nanovaccines empowering CD8
40083936,The TMBIM1-YBX1 axis orchestrates MDSC recruitment and immunosuppressive microenvironment in pancreatic cancer.
40083934,Bioeliminable Pt@Bi
40083927,The allogenic non-proteinogenic amino acid BMAA-based vaccine breaks up the immune tolerance against colorectal cancer.
40083921,A p-n heterojunction sonosensitizer for improved sono-immunotherapy via induction of multimodal cell death mechanisms.
40083880,Bibliometric analysis: a study of the microenvironment in cervical cancer (2000-2024).
40083872,Tumor gene expression signatures associated with outcome in large B-cell lymphoma treated with CD19-directed CAR T-cell therapy (axicabtagene ciloleucel).
40083710,Harnessing Macrophages in Cancer Therapy: from Immune Modulators to Therapeutic Targets.
40083696,Inhibition of Cyclin D1 by Novel Biguanide Derivative YB-004 Increases the Sensitivity of Bladder Cancer to Olaparib via Causing G0 / G1 Arrest.
40083552,Disitamab vedotin 
40083549,Identification of immune subtypes associated with CD8+ T cell-related genes providing new treatment strategies of esophageal carcinoma.
40083527,No down-side to starting durvalumab immediately after chemoradiation for unresectable stage III non-small cell lung cancer-some answers but more questions.
40083522,Neoadjuvant dual immuno-combination therapy with anti-LAG3 and anti-PD-1 antibodies is feasible and safe for resectable non-small cell lung cancer.
40083373,Bispecific T-cell engagers for the recruitment of T cells in solid tumors: a literature review.
40083326,Molecular mechanism of tumor-infiltrating immune cells regulating endometrial carcinoma.
40083325,"Differences between lung adenocarcinoma and lung squamous cell carcinoma: Driver genes, therapeutic targets, and clinical efficacy."
40083311,Liquid biopsy for guiding breast cancer immunotherapy.
40083232,Utility of the NLR and the ratio of NLR after and before adverse events for differential diagnosis of irAEs and bacterial infections in cancer patients treated with PD-(L)1 inhibitors.
40083082,Sustained Immunotherapy Response in Metastatic Brain Melanoma Through 2 Pregnancies.
40083039,"Antisecretory factor as add-on treatment for newly diagnosed glioblastoma, IDH wildtype: study protocol for a randomized double-blind placebo-controlled trial."
40083024,Intratumoral and peritumoral CT radiomics in predicting anaplastic lymphoma kinase mutations and survival in patients with lung adenocarcinoma: a multicenter study.
40083005,PD-L1
40082982,A real-world study of the efficacy of second-line treatment of unresectable hepatocellular carcinoma with esophagogastric varices after progression on first-line lenvatinib combined with PD-1 inhibitor.
40082966,"Amino acid metabolism in glioblastoma pathogenesis, immune evasion, and treatment resistance."
40082897,Efficacy and safety of induction immunochemotherapy followed by radiotherapy for patients with unresectable locally advanced non-small cell lung cancer: A retrospective study.
40082876,Single-cell transcriptomic analyses reveal heterogeneity and key subsets associated with survival and response to PD-1 blockade in cervical squamous cell carcinoma.
40082871,Risk factors of immune-related endocrine toxicities in non-small cell lung cancer patients treated with pembrolizumab and its impact on patient outcomes: a multicenter retrospective study.
40082786,Integration of intratumoral and peritumoral CT radiomic features with machine learning algorithms for predicting induction therapy response in locally advanced non-small cell lung cancer.
40082566,"Exome sequencing shows same pattern of clonal tumor mutational burden, intratumor heterogenicity and clonal neoantigen between autologous tumor and Vigil product."
40082557,Human CSPG4-targeting CAR-macrophages inhibit melanoma growth.
40082458,Loss of ARID1A leads to a cold tumor phenotype via suppression of IFNγ signaling.
40082438,Plasma exchange and radiation resensitize immunotherapy-refractory melanoma: a phase I trial.
40082418,"PD-1 antibody camrelizumab plus apatinib and SOX as first-line treatment in patients with AFP-producing gastric or gastro-esophageal junction adenocarcinoma (CAP 06): a multi-center, single-arm, phase 2 trial."
40082390,Artificial intelligence-driven integration of single-cell RNA sequencing and transcriptome analysis to decipher APOE's role in gastric cancer prognosis and therapy.
40082236,Research Progress in Immune Checkpoint Inhibitors for Relapsed and Refractory Malignant Gonadal Germ Cell Tumors.
40082201,Immune checkpoint blockade for cancer therapy: current progress and perspectives.
40082191,Prediction of prognosis and immune response in lung adenocarcinoma by peroxisome related-lncRNA.
40081947,Targeting MARCO in combination with anti-CTLA-4 leads to enhanced melanoma regression and immune cell infiltration via macrophage reprogramming.
40081946,Potent and durable control of mesothelin-expressing tumors by a novel T cell-secreted bi-specific engager.
40081944,
40081943,RANKL blockade inhibits cancer growth through reversing the tolerogenic profile of tumor-infiltrating (plasmacytoid) dendritic cells.
40081942,Leveraging T cell co-stimulation for enhanced therapeutic efficacy of trispecific antibodies targeting prostate cancer.
40081941,Myeloid targeting antibodies PY159 and PY314 for platinum-resistant ovarian cancer.
40081940,Novel anti-CD73-IL-2v bispecific fusion protein augments antitumor immunity by alleviating immunosuppressive adenosine pathways in CD8
40081939,Single-cell spatial transcriptomics unravels cell states and ecosystems associated with clinical response to immunotherapy.
40081767,Ifosfamide alleviates autoimmune toxicity and enhances antitumor efficacy in melanoma immunotherapy.
40081698,Ginseng polysaccharides ameliorate colorectal tumorigenesis through Lachnospiraceae-mediated immune modulation.
40081509,BUB1-deficiency suppresses kidney renal clear cell carcinoma progression via the PI3K/Akt pathway: A bioinformatics-oriented validating study.
40081385,Novel treatment vs. standard of care in melanoma-associated leptomeningeal metastases: a systematic review and network meta-analysis.
40081357,Immunotherapy for Advanced Conjunctival Squamous Cell Carcinoma: Treatment Failures.
40081325,Chemotherapy-Based Combination Regimens for Advanced EGFR-Mutant NSCLC After EGFR-TKI Failure: A Network Meta-Analysis.
40081316,Locoregional Radiotherapy Candidates in de Novo Metastatic Nasopharyngeal Carcinoma: Real-World Insights in the Immunotherapy Era.
40081267,High tumor mutation burden mitigates the negative impact of chemotherapy history on immune checkpoint blockade therapy.
40081224,Overcoming immunotherapy resistance in colorectal cancer through nano-selenium probiotic complexes and IL-32 modulation.
40081220,"Resistance to immunotherapy in non-small cell lung cancer: Unraveling causes, developing effective strategies, and exploring potential breakthroughs."
40081205,Oncology professionals' perceptions and recommendations to improve well-being and health at work in times of crisis: qualitative thematic analysis from the ESMO Resilience Task Force survey series.
40081120,CDK4/6 Inhibition With Abemaciclib in Patients With Previously Treated Advanced Renal Cell Carcinoma.
40081109,Establishing survival benchmarks in the era of peri-operative immunotherapy.
40080926,UBTF facilitates acute myeloid leukemia development and immune escape via PD-L1 regulation.
40080642,RGMb drives macrophage infiltration to aggravate kidney disease.
40080526,Mutation of SMARCA4 Induces Cancer Cell-Intrinsic Defects in the Enhancer Landscape and Resistance to Immunotherapy.
40080442,Mutational Landscape of Recurrent/Metastatic Head and Neck Squamous Cell Carcinoma and Association with Immune Checkpoint Inhibitor Outcome.
